qc_id,objectid_1,join_count,target_fid,objectid,layer,name,elev,invert_el,max_depth,uwagi,id_well,uwagi2,uwagi22,id,h_m,uwagi3,elevk,invert_elk,gid,icon_url
"27","32","1","31",32,właz okrągły - siec kanalizacyjna (punkt),K235,222.57,220.71,"0",,"32",,,"32",1.86,,222.54,220.69,"15912",./0.png
"28","33","1","32",33,właz okrągły - siec kanalizacyjna (punkt),K226,224.13,222.21,"0",,"33",,,"33",1.92,,224.11,222.18,"15906",./0.png
"29","34","1","33",34,właz okrągły - siec kanalizacyjna (punkt),K234,221.22,219.26,"0",,"34",,,"34",1.96,,221.21,219.26,"15911",./0.png
"30","35","1","34",35,właz okrągły - siec kanalizacyjna (punkt),K227,222.27,219.35,"0",,"35",,,"35",2.92,,222.24,219.37,"15905",./0.png
"31","36","1","35",36,właz okrągły - siec kanalizacyjna (punkt),K233,220.44,218.45,"0",,"36",,,"36",1.99,,220.44,218.49,"15910",./0.png
"32","37","1","36",37,właz okrągły - siec kanalizacyjna (punkt),K215,217.07,214.69,"0",,"37",,,"37",2.38,,217.07,214.68,"15892",./0.png
"33","38","1","37",38,właz okrągły - siec kanalizacyjna (punkt),K216,216.99,214.75,"0",,"38",,,"38",2.24,,216.98,214.73,"15893",./0.png
"34","39","1","38",39,właz okrągły - siec kanalizacyjna (punkt),K217,217.17,214.83,"0",,"39",,,"39",2.34,,217.16,214.78,"15895",./0.png
"35","40","1","39",40,właz okrągły - siec kanalizacyjna (punkt),K229,219.52,217.31,"0",,"40",,,"40",2.21,,219.52,216.27,"15904",./0.png
"36","41","1","40",41,właz okrągły - siec kanalizacyjna (punkt),K232,219.39,217.54,"0",,"41",,,"41",1.85,,219.38,217.55,"15909",./0.png
"37","42","1","41",42,właz okrągły - siec kanalizacyjna (punkt),K218,217.56,214.97,"0",,"42",,,"42",2.59,,217.55,214.92,"15896",./0.png
"38","43","1","42",43,właz okrągły - siec kanalizacyjna (punkt),K219,217.6,215,"0",,"43",,,"43",2.6,,217.57,214.98,"15897",./0.png
"39","44","1","43",44,właz okrągły - siec kanalizacyjna (punkt),K231,218.57,216.83,"0",,"44",,,"44",1.74,,218.57,216.84,"15908",./0.png
"40","45","1","44",45,właz okrągły - siec kanalizacyjna (punkt),K230,218.15,216.28,"0",,"45",,,"45",1.87,,218.24,216.27,"15903",./0.png
"41","46","1","45",46,właz okrągły - siec kanalizacyjna (punkt),K221,217.12,215.11,"0",,"46",,,"46",2.01,,217.1,215.1,"15899",./0.png
"42","47","1","46",47,właz okrągły - siec kanalizacyjna (punkt),K222,217.32,215.48,"0",,"47",,,"47",1.84,,217.15,215.37,"15901",./0.png
"43","48","1","47",48,właz okrągły - siec kanalizacyjna (punkt),K220,217.22,215.03,"0",,"48",,,"48",2.19,,217.22,215.05,"15898",./0.png
"44","49","1","48",49,właz okrągły - siec kanalizacyjna (punkt),KD15,217.13,214.98,"0",,"49",,,"49",2.15,,0,0,"126592",./0.png
"45","50","1","49",50,właz okrągły - siec kanalizacyjna (punkt),KD4,217.26,215.5,"0",,"50",,,"50",1.76,,0,0,"126593",./0.png
"46","51","1","50",51,właz okrągły - siec kanalizacyjna (punkt),KD16,217.31,213.68,"0",,"51",,,"51",3.63,,0,0,"126594",./0.png
"47","52","1","51",52,właz okrągły - siec kanalizacyjna (punkt),KD9,216.77,214.14,"0",,"52",,,"52",2.63,,0,0,"129189",./0.png
"48","53","1","52",53,właz okrągły - siec kanalizacyjna (punkt),KD7,216.77,213.37,"0",,"53",,,"53",3.4,,,,,./0.png
"49","54","1","53",54,właz okrągły - siec kanalizacyjna (punkt),KD8,216.64,213.73,"0",,"54",,,"54",2.91,,216.57,213.79,"16047",./0.png
"50","55","1","54",55,właz okrągły - siec kanalizacyjna (punkt),KD2A,215.86,213.29,"0",,"55",,,"55",2.57,,215.84,213.58,"16046",./0.png
"51","56","1","55",56,właz okrągły - siec kanalizacyjna (punkt),KD2,215.77,213.04,"0",,"56",,,"56",2.73,,215.67,213.05,"16045",./0.png
"52","57","1","56",57,właz okrągły - siec kanalizacyjna (punkt),K93,225.63,217.18,"0",,"57","Studzienka na ogródkach działkowych, głęboko",,"57",8.45,,,,,./0.png
"53","58","1","57",58,właz okrągły - siec kanalizacyjna (punkt),K94,225.48,217.78,"0",,"58","Studzienka na ogródkach działkowych, głęboko",,"58",7.7,,,,,./0.png
"54","59","1","58",59,właz okrągły - siec kanalizacyjna (punkt),K91,226.15,218.65,"0",,"59","Studzienka na ogródkach działkowych, głęboko",,"59",7.5,,,,,./0.png
"55","60","1","59",60,właz okrągły - siec kanalizacyjna (punkt),K92,226.78,217.68,"0",,"60","Studzienka na ogródkach działkowych, głęboko",,"60",9.1,,,,,./0.png
"56","61","1","60",61,właz okrągły - siec kanalizacyjna (punkt),K47,233.04,230.92,"0",,"61",,,"61",2.12,,233.03,230.85,"13162",./0.png
"57","62","1","61",62,właz okrągły - siec kanalizacyjna (punkt),K45,233.32,231.06,"0",,"62",,,"62",2.26,,233.31,231.03,"13164",./0.png
"58","63","1","62",63,właz okrągły - siec kanalizacyjna (punkt),K46,233.16,231,"0",,"63",,,"63",2.16,,233.14,230.96,"13163",./0.png
"59","64","1","63",64,właz okrągły - siec kanalizacyjna (punkt),K44,233.52,231.24,"0",,"64",,,"64",2.28,,233.51,231.21,"13165",./0.png
